Stock;Index
GMAT3;AGFS IBRA ICON IGCT IGCX IGNM ITAG SMLL
NTCO3;IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM INDX ISEE ITAG IVBX MLCX
SBFG3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
SOMA3;IBOV IBRA IBXX ICON IGCT IGCX IGNM ITAG SMLL
G1SK34;BDRX
GUAR3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
HAPV3;IBOV IBRA IBXL IBXX ICON IGCT IGCX IGNM ITAG IVBX MLCX
H1OG34;BDRX
HBRE3;IGCX IGNM ITAG
H1CA34;BDRX
HBOR3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
HBSA3;AGFS IBRA IGCT IGCX IGNM ITAG SMLL
HOME34;BDRX
HOND34;BDRX
H1ZN34;BDRX
HPQB34;BDRX
H1SB34;BDRX
HYPE3;GPTW IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM ITAG IVBX MLCX
IGTI11;IBOV IBRA IBXX IGCT IGCX IMOB ITAG SMLL
PARD3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
I1LM34;BDRX
MEAL3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
IFCM3;IBRA IGCT IGCX IGNM ITAG SMLL
ITLC34;BDRX
INTB3;GPTW IBRA IGCT IGCX IGNM INDX ITAG SMLL
INTU34;BDRX
I1SR34;BDRX
MYPK3;IBRA ICON IDIV IGCT IGCX IGNM INDX ISEE ITAG SMLL
RANI3;AGFS GPTW IBRA IGCT IGCX IGNM IMAT ITAG SMLL
IRBR3;IBOV IBRA IBXX IFNC IGCT IGCX IGNM ITAG SMLL
I1RM34;BDRX
ITSA3;IGCX
ITSA4;IBOV IBRA IBXL IBXX ICO2 IDIV IFNC IGCT IGCX ISEE ITAG IVBX MLCX
ITUB3;IBRA IFNC IGCT IGCX MLCX
ITUB4;GPTW IBOV IBRA IBXL IBXX ICO2 IFNC IGCT IGCX ISEE ITAG MLCX
JALL3;AGFS GPTW IBRA ICON IGCT IGCX IGNM ITAG SMLL
JBSS3;AGFS IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM INDX ITAG MLCX
JDCO34;BDRX
JHSF3;IBOV IBRA ICON IDIV IGCT IGCX IGNM IMOB INDX ITAG SMLL
JNJB34;BDRX
JPMC34;BDRX
JSLG3;IGCX IGNM ITAG
KEPL3;AGFS GPTW IBRA ITAG SMLL
KMIC34;BDRX
KLBN11;AGFS IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IMAT INDX ISEE ITAG IVBX MLCX
KRSA3;IGCX IGNM ITAG
KHCB34;BDRX
L1RC34;BDRX
LAVV3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
LIGT3;IBRA IEEX IGCT IGCX IGNM ISEE ITAG SMLL UTIL
LILY34;BDRX
L1YG34;BDRX
RENT3;GPTW IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ITAG IVBX MLCX
LCAM3;IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM ITAG MLCX
LWSA3;GPTW IBOV IBRA IBXL IBXX IGCT IGCX IGNM ITAG IVBX SMLL
LMTB34;BDRX
LOGG3;IBRA IGCT IGCX IGNM IMOB ITAG SMLL
LOGN3;IBRA IGCT IGCX IGNM ITAG SMLL
AMAR3;IBRA IBXX ICON IGCT IGCX IGNM ITAG SMLL
LREN3;GPTW IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG IVBX MLCX
LPSB3;IGCX IGNM ITAG
LOWC34;BDRX
L1UL34;BDRX
L1MN34;BDRX
MDIA3;AGFS IBRA ICON IGCT IGCX IGNM INDX ISEE ITAG SMLL
MACY34;BDRX
MGLU3;GPTW IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG MLCX
M1RO34;BDRX
POMO3;IGCX ITAG
POMO4;IBRA IGCT IGCX INDX ITAG SMLL
MRFG3;AGFS IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM INDX ISEE ITAG IVBX MLCX
MSCD34;BDRX
MATD3;GPTW IBRA ICON IGCT IGCX IGNM ITAG SMLL
MCDC34;BDRX
MDTC34;BDRX
CASH3;GPTW IBOV IBRA IBXL IBXX IGCT IGCX IGNM ITAG IVBX SMLL
MELK3;IGCX IGNM ITAG
BMEB3;IGCX
BMEB4;IGCX
MELI34;BDRX
MRCK34;BDRX
M1TA34;BDRX
MTIG4;ITAG
LEVE3;IBRA ICON IDIV IGCT IGCX IGNM ITAG SMLL
METB34;BDRX
M1GM34;BDRX
MUTC34;BDRX
MSFT34;BDRX
MILS3;IBRA IGCT IGCX IGNM ITAG SMLL
BEEF3;AGFS IBOV IBRA IBXX ICO2 ICON IDIV IGCT IGCX IGNM INDX ISEE ITAG SMLL
MTRE3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
M1UF34;BDRX
MBLY3;IGCX IGNM ITAG
MODL11;IBRA IFNC IGCT IGCX ITAG SMLL
M1RN34;BDRX
MDLZ34;BDRX
M1DB34;BDRX
M1NS34;BDRX
MSBR34;BDRX
MOSC34;BDRX
MDNE3;IGCX IGNM ITAG
MOVI3;IBRA IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG SMLL
MRVE3;IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM IMOB INDX ISEE ITAG SMLL
MLAS3;IBRA IGCT IGCX IGNM ITAG SMLL
MULT3;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IMOB ITAG IVBX SMLL
N1DA34;BDRX
NEOE3;IBRA IEEX IGCT IGCX IGNM ISEE ITAG MLCX UTIL
NGRD3;GPTW IBRA IGCT IGCX IGNM ITAG SMLL
NETE34;BDRX
NFLX34;BDRX
E1DU34;BDRX
N1EM34;BDRX
NEXP3;IGCX IGNM ITAG
NEXT34;BDRX
NIKE34;BDRX
NOKI34;BDRX
N1CL34;BDRX
N1VS34;BDRX
N1VO34;BDRX
N1UE34;BDRX
NVDC34;BDRX
N1XP34;BDRX
OXYP34;BDRX
OPCT3;IBRA IGCT IGCX IGNM ITAG SMLL
ODPV3;GPTW IBRA ICON IGCT IGCX IGNM ITAG SMLL
O1KT34;BDRX
MEGA3;IBRA IEEX IGCT IGCX IGNM ITAG SMLL UTIL
ONCO3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
ORCL34;BDRX
ORVR3;IBRA IGCT IGCX IGNM ITAG SMLL UTIL
OSXB3;IGCX IGNM ITAG
OFSA3;IGCX IGNM ITAG
PCAR3;AGFS IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG SMLL
PDTC3;IGCX IGNM ITAG
PAGS34;BDRX
PGMN3;GPTW IBRA ICON IGCT IGCX IGNM ITAG SMLL
P2LT34;BDRX
C1BS34;BDRX
PMAM3;IGCX IGNM ITAG SMLL
PYPL34;BDRX
PDGR3;IGCX IGNM ITAG
PEPB34;BDRX
PETR3;IBOV IBRA IBXL IBXX ICO2 IDIV IGCT IGCX ITAG MLCX
PETR4;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX ITAG MLCX
PTCH34;BDRX
RECV3;IBRA IGCT IGCX IGNM ITAG SMLL
PRIO3;IBOV IBRA IBXL IBXX IGCT IGCX IGNM ITAG MLCX
PTNT4;ITAG
PETZ3;IBOV IBRA IBXX ICON IGCT IGCX IGNM ITAG IVBX SMLL
PFIZ34;BDRX
PGCO34;BDRX
PHMO34;BDRX
P1DD34;BDRX
PINE4;IGCX ITAG
PLPL3;GPTW IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
PSSA3;IBRA IBXX ICO2 IDIV IFNC IGCT IGCX IGNM ITAG MLCX
PTBL3;IBRA IGCT IGCX IGNM INDX ITAG SMLL
POSI3;GPTW IBOV IBRA IBXX IGCT IGCX IGNM INDX ITAG SMLL
PRNR3;IGCX IGNM ITAG
PFRM3;IGCX IGNM ITAG
P1LD34;BDRX
P1SA34;BDRX
QCOM34;BDRX
QUAL3;GPTW IBOV IBRA IBXX ICON IDIV IGCT IGCX IGNM ITAG SMLL
LJQQ3;GPTW IBRA ICON IGCT IGCX IGNM ITAG SMLL
RADL3;IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG IVBX MLCX
RAIZ4;AGFS IBRA IBXX ICON IGCT IGCX ITAG SMLL
RAPT3;IGCX
RAPT4;AGFS IBRA IDIV IGCT IGCX INDX ITAG SMLL
RYTT34;BDRX
RCSL3;AGFS IBRA INDX SMLL
RDOR3;IBOV IBRA IBXL IBXX ICON IGCT IGCX IGNM ITAG IVBX MLCX
REGN34;BDRX
RIOT34;BDRX
RDNI3;IGCX IGNM ITAG
R2BL34;BDRX
R1KU34;BDRX
ROMI3;IBRA IDIV IGCT IGCX IGNM ITAG SMLL
RSID3;IGCX IGNM ITAG
R1CL34;BDRX
RAIL3;AGFS IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM ISEE ITAG IVBX MLCX
SBSP3;GPTW IBOV IBRA IBXX IGCT IGCX IGNM ITAG IVBX MLCX UTIL
SSFO34;BDRX
SAPR11;IBRA IGCT IGCX ITAG SMLL UTIL
BCSA34;BDRX
SANB11;GPTW IBOV IBRA IBXX ICO2 IDIV IFNC ISEE ITAG MLCX
STBP3;GPTW IBRA IBXX ICO2 IGCT IGCX IGNM ITAG SMLL
SCAR3;IGCX IGNM ITAG
SMTO3;AGFS IBRA IBXX ICO2 ICON IGCT IGCX IGNM INDX ITAG MLCX
SAPP34;BDRX
SCHW34;BDRX
S2EA34;BDRX
SEQL3;IBRA IGCT IGCX IGNM ITAG SMLL
SEER3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
N1OW34;BDRX
S2HO34;BDRX
S1BS34;BDRX
CSNA3;IBOV IBRA IBXL IBXX ICO2 IDIV IMAT INDX IVBX MLCX
SIMN34;BDRX
SIMH3;IBRA IGCT IGCX IGNM ISEE ITAG SMLL
SQIA3;GPTW IBRA IGCT IGCX IGNM ITAG SMLL
S1LG34;BDRX
SLCE3;AGFS GPTW IBOV IBRA IBXX ICO2 ICON IGCT IGCX IGNM ITAG SMLL
SMFT3;IBRA ICON IGCT IGCX IGNM ITAG MLCX
S2NW34;BDRX
SNEC34;BDRX
SPGI34;BDRX
S1PL34;BDRX
S1PO34;BDRX
SGPS3;IGCX IGNM ITAG
SBUB34;BDRX
S2TO34;BDRX
SULA11;IBOV IBRA IBXX ICO2 IFNC IGCT IGCX ISEE ITAG IVBX SMLL
SUZB3;AGFS GPTW IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM IMAT INDX ISEE ITAG IVBX MLCX
SYNE3;IBRA IDIV IGCT IGCX IGNM IMOB ITAG SMLL
S1YF34;BDRX
TAEE11;GPTW IBOV IBRA IBXX ICO2 IDIV IEEX IGCT IGCX ITAG MLCX UTIL
TSMC34;BDRX
T1TW34;BDRX
T1AL34;BDRX
TGTB34;BDRX
TASA3;IGCX ITAG
TASA4;IBRA IGCT IGCX INDX ITAG SMLL
TRAD3;IBRA IGCT IGCX IGNM ITAG SMLL
TECN3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
TCSA3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
TGMA3;IBRA IDIV IGCT IGCX IGNM ITAG SMLL
T2DH34;BDRX
VIVT3;GPTW IBOV IBRA IBXX ICO2 IDIV ISEE IVBX MLCX
TLNC34;BDRX
TEND3;IBRA ICON IGCT IGCX IGNM IMOB INDX ITAG SMLL
TXSA34;BDRX
LAND3;IGCX IGNM ITAG
TSLA34;BDRX
T1EV34;BDRX
TEXA34;BDRX
TMOS34;BDRX
TIMS3;IBOV IBRA IBXX ICO2 IGCT IGCX IGNM ISEE ITAG MLCX
SHOW3;IGCX IGNM ITAG
TOTS3;GPTW IBOV IBRA IBXL IBXX IGCT IGCX IGNM ITAG IVBX MLCX
TMCO34;BDRX
TFCO4;IGCX ITAG
T2TD34;BDRX
TRPL3;IGCX
TRPL4;IBRA IDIV IEEX IGCT IGCX MLCX UTIL
RIGG34;BDRX
T1RI34;BDRX
TRIS3;IBRA ICON IDIV IGCT IGCX IGNM IMOB ITAG SMLL
TPIS3;IBRA IGCT IGCX IGNM ITAG SMLL
TUPY3;AGFS IBRA IGCT IGCX IGNM INDX ITAG SMLL
T1WL34;BDRX
TWTR34;BDRX
U1BE34;BDRX
UBSG34;BDRX
UGPA3;IBOV IBRA IBXX ICO2 IGCT IGCX IGNM ITAG IVBX MLCX
UCAS3;IGCX IGNM ITAG
FIQE3;IGCX IGNM ITAG
ULEV34;BDRX
UNIP6;IBRA IDIV IMAT INDX SMLL
U1AL34;BDRX
UNHH34;BDRX
U2ST34;BDRX
UPSS34;BDRX
USBC34;BDRX
USSX34;BDRX
USIM3;IBRA IGCT IGCX IMAT MLCX
USIM5;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IMAT INDX IVBX MLCX
VALE3;IBOV IBRA IBXL IBXX IDIV IGCT IGCX IGNM IMAT ITAG MLCX
VLOE34;BDRX
VLID3;IBRA IGCT IGCX IGNM ITAG SMLL
VAMO3;AGFS IBRA ICON IGCT IGCX IGNM ITAG MLCX
VERZ34;BDRX
VRTX34;BDRX
VIIA3;GPTW IBOV IBRA IBXL IBXX ICO2 ICON IGCT IGCX IGNM ISEE ITAG IVBX SMLL
VBBR3;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM ISEE ITAG IVBX MLCX
V1IP34;BDRX
VISA34;BDRX
VITT3;IGCX IGNM ITAG
VIVA3;IBRA ICON IGCT IGCX IGNM INDX ITAG SMLL
VVEO3;IGCX IGNM ITAG
VIVR3;IBRA ICON IGCT IGCX IGNM IMOB ITAG SMLL
V1OD34;BDRX
V1NO34;BDRX
VULC3;IBRA ICON IGCT IGCX IGNM ITAG SMLL
WALM34;BDRX
WGBA34;BDRX
DISB34;BDRX
W1BD34;BDRX
LVTC3;IGCX IGNM ITAG
WEGE3;IBOV IBRA IBXL IBXX ICO2 IGCT IGCX IGNM INDX ISEE ITAG MLCX
WFCO34;BDRX
WEST3;IGCX IGNM ITAG
PORT3;IGCX IGNM ITAG
W1IX34;BDRX
WIZS3;GPTW IBRA IBXX IDIV IFNC IGCT IGCX IGNM ITAG SMLL
YDUQ3;IBOV IBRA IBXX ICON IGCT IGCX IGNM ITAG SMLL
Z1TS34;BDRX
Z1OM34;BDRX
